Date,Fob,Fob.ln,Fob.ma9,Fob.ma9.res,Fob.ma9.res.lag1,Fob.ln.ma9,Fob.ln.ma9.res,Fob.ln.ma9.res.lag1,Fob.dif7,Fob.dif7.lag1,Fob.ln.dif7,Fob.ln.dif7.lag1,Card,Card.ln,Card.ma9,Card.ma9.res,Card.ma9.res.lag1,Card.ln.ma9,Card.ln.ma9.res,Card.ln.ma9.res.lag1,Card.dif7,Card.dif7.lag1,Card.ln.dif7,Card.ln.dif7.lag1,Max.air.temp,Max.air.temp.ln,Max.air.temp.ma9,Max.air.temp.ma9.res,Max.air.temp.ma9.res.lag1,Max.air.temp.ma9.res.lead1,Max.air.temp.ln.ma9,Max.air.temp.ln.ma9.res,Max.air.temp.ln.ma9.res.lag1,Max.air.temp.ln.ma9.res.lead1,Max.air.temp.dif7,Max.air.temp.dif7.lag1,Max.air.temp.dif7.lead1,Max.air.temp.ln.dif7,Max.air.temp.ln.dif7.lag1,Max.air.temp.ln.dif7.lead1,Percip,Percip.light,Percip.light.lag1,Percip.light.lead1,Percip.heavy,Percip.heavy.lag1,Percip.heavy.lead1,Percip.dif7,Percip.dif7.lag1,Percip.dif7.lead1,Rel.humid,Rel.humid.ln,Rel.humid.ma9,Rel.humid.ma9.res,Rel.humid.ma9.res.lag1,Rel.humid.ma9.res.lead1,Rel.humid.ln.ma9,Rel.humid.ln.ma9.res,Rel.humid.ln.ma9.res.lag1,Rel.humid.ln.ma9.res.lead1,Rel.humid.dif7,Rel.humid.dif7.lag1,Rel.humid.dif7.lead1,Rel.humid.ln.dif7,Rel.humid.ln.dif7.lag1,Rel.humid.ln.dif7.lead1,Avg.wind,Avg.wind.ln,Avg.wind.ma9,Avg.wind.ma9.res,Avg.wind.ma9.res.lag1,Avg.wind.ma9.res.lead1,Avg.wind.ln.ma9,Avg.wind.ln.ma9.res,Avg.wind.ln.ma9.res.lag1,Avg.wind.ln.ma9.res.lead1,Avg.wind.dif7,Avg.wind.dif7.lag1,Avg.wind.dif7.lead1,Avg.wind.ln.dif7,Avg.wind.ln.dif7.lag1,Avg.wind.ln.dif7.lead1,Daylight,Daylight.ln,Daylight.ma9,Daylight.ma9.res,Daylight.ma9.res.lag1,Daylight.ma9.res.lead1,Daylight.ln.ma9,Daylight.ln.ma9.res,Daylight.ln.ma9.res.lag1,Daylight.ln.ma9.res.lead1,Daylight.dif7,Daylight.dif7.lag1,Daylight.dif7.lead1,Daylight.ln.dif7,Daylight.ln.dif7.lag1,Daylight.ln.dif7.lead1,Ozone.mean,Ozone.mean.ln,Ozone.mean.ma9,Ozone.mean.ma9.res,Ozone.mean.ma9.res.lag1,Ozone.mean.ma9.res.lead1,Ozone.mean.ln.ma9,Ozone.mean.ln.ma9.res,Ozone.mean.ln.ma9.res.lag1,Ozone.mean.ln.ma9.res.lead1,Ozone.mean.dif7,Ozone.mean.dif7.lag1,Ozone.mean.dif7.lead1,Ozone.mean.ln.dif7,Ozone.mean.ln.dif7.lag1,Ozone.mean.ln.dif7.lead1,NOX.mean,NOX.mean.ln,NOX.mean.ma9,NOX.mean.ma9.res,NOX.mean.ma9.res.lag1,NOX.mean.ma9.res.lead1,NOX.mean.ln.ma9,NOX.mean.ln.ma9.res,NOX.mean.ln.ma9.res.lag1,NOX.mean.ln.ma9.res.lead1,NOX.mean.dif7,NOX.mean.dif7.lag1,NOX.mean.dif7.lead1,NOX.mean.ln.dif7,NOX.mean.ln.dif7.lag1,NOX.mean.ln.dif7.lead1,PM10.mean,PM10.mean.ln,PM10.mean.ma9,PM10.mean.ma9.res,PM10.mean.ma9.res.lag1,PM10.mean.ma9.res.lead1,PM10.mean.ln.ma9,PM10.mean.ln.ma9.res,PM10.mean.ln.ma9.res.lag1,PM10.mean.ln.ma9.res.lead1,PM10.mean.dif7,PM10.mean.dif7.lag1,PM10.mean.dif7.lead1,PM10.mean.ln.dif7,PM10.mean.ln.dif7.lag1,PM10.mean.ln.dif7.lead1,Bank.hol,Red.Alert,Purple.Alert
11/01/2012,6537,8.785233624,,,,,,,2057,2938,0.377855298,0.626491587,3460,8.149023868,,,,,,,1300,1860,0.471160367,0.808325564,11.2,2.415913778,,,,,,,,,3.3,-1.1,-0.15,0.349051019,-0.093287934,-0.013187004,0.4,1,0,0,0,0,0,-3.4,-8,-0.6,83.09583333,4.41999456,,,,,,,,,5.55,4.90833334,10.65,0.069125401,0.058667556,0.144306716,9.375,2.238046572,,,,,,,,,-7.25,-9.20108696,-9.16666667,-0.572861015,-0.725997981,-0.613104473,29471,10.29116201,,,,,,,,,723,684,761,0.024838529,0.023579982,0.026050182,18,2.890371758,,,,,,,,,-20,-32,-15,-0.747214402,-1.189584067,-0.661398482,68,4.219507705,,,,,,,,,22,28,-7,0.390866309,0.587786665,-0.053244515,13,2.564949357,,,,,,,,,2,0,0,0.167054085,0,0,0,0,0
12/01/2012,6391,8.76264603,,,,,,,1753,2057,0.320607512,0.377855298,3533,8.169902647,,,,,,,1334,1300,0.474144657,0.471160367,11.3,2.424802726,,,,,,,,,-0.15,3.3,-1,-0.013187004,0.349051019,-0.130053128,0,0,1,0,0,0,0,-0.6,-3.4,0,79.25416667,4.372659988,,,,,,,,,10.65,5.55,3.8875,0.144306716,0.069125401,0.049173389,10.83333333,2.3826278,,,,,,,,,-9.16666667,-7.25,-6.125,-0.613104473,-0.572861015,-1.059391576,29595,10.29536071,,,,,,,,,761,723,798,0.026050182,0.024838529,0.027213028,16,2.772588722,,,,,,,,,-15,-20,-14,-0.661398482,-0.747214402,-1.504077397,128,4.852030264,,,,,,,,,-7,22,86,-0.053244515,0.390866309,0.670674325,13,2.564949357,,,,,,,,,0,2,8,0,0.167054085,0.427444015,0,0,0
13/01/2012,5883,8.679822115,,,,,,,642,1753,0.115554516,0.320607512,3694,8.214465161,,,,,,,188,1334,0.052234095,0.474144657,7.2,1.974081026,,,,,,,,,-1,-0.15,-5.16,-0.130053128,-0.013187004,-0.641303579,0,0,0,0,0,0,0,0,-0.6,0,81.01666667,4.394654895,,,,,,,,,3.8875,10.65,13.48333333,0.049173389,0.144306716,0.172342649,3.25,1.178654996,,,,,,,,,-6.125,-9.16666667,-10.25724637,-1.059391576,-0.613104473,-1.88965169,29725,10.29974372,,,,,,,,,798,761,834,0.027213028,0.026050182,0.028328774,4,1.386294361,,,,,,,,,-14,-15,-22,-1.504077397,-0.661398482,-3.135494216,176,5.170483995,,,,,,,,,86,-7,127,0.670674325,-0.053244515,0.861028053,23,3.135494216,,,,,,,,,8,0,19,0.427444015,0,0.900786545,0,0,0
14/01/2012,2491,7.820439515,,,,,,,23,642,0.00927613,0.115554516,5874,8.678291112,,,,,,,574,188,0.102829012,0.052234095,5.74,1.74745921,,,,,,,,,-5.16,-1,-4.3,-0.641303579,-0.130053128,-0.589861354,0,0,0,1,0,0,0,0,0,0.2,85.17083333,4.444659043,,,,,,,,,13.48333333,3.8875,1.33333333,0.172342649,0.049173389,0.017734892,1.826086957,0.602175403,,,,,,,,,-10.25724637,-6.125,-3.875,-1.88965169,-1.059391576,-0.581173509,29859,10.30424158,,,,,,,,,834,798,870,0.028328774,0.027213028,0.029430802,1,0,,,,,,,,,-22,-14,-8,-3.135494216,-1.504077397,-0.587786665,220,5.393627546,,,,,,,,,127,86,64,0.861028053,0.670674325,0.546543706,32,3.465735903,,,,,,,,,19,8,10,0.900786545,0.427444015,0.606135804,0,0,0
15/01/2012,2184,7.688913337,,,,,,,226,23,0.109234514,0.00927613,5307,8.576781983,,,,,,,885,574,0.182434621,0.102829012,5.35,1.677096561,,,,,,,,,-4.3,-5.16,-5.9,-0.589861354,-0.641303579,-0.728865263,0.2,1,0,0,0,0,0,0.2,0,-0.2,75.85,4.328757706,,,,,,,,,1.33333333,13.48333333,-13.27083333,0.017734892,0.172342649,-0.171300509,4.916666667,1.592630794,,,,,,,,,-3.875,-10.25724637,-3.956521739,-0.581173509,-1.88965169,-0.58294404,29998,10.30888599,,,,,,,,,870,834,904,0.029430802,0.028328774,0.030451341,10,2.302585093,,,,,,,,,-8,-22,-7,-0.587786665,-3.135494216,-1.504077397,152,5.023880521,,,,,,,,,64,127,163,0.546543706,0.861028053,1.145730212,22,3.091042453,,,,,,,,,10,19,22,0.606135804,0.900786545,0.944461609,0,0,0
16/01/2012,6031,8.704668113,,,,,,,0,226,0,0.109234514,2970,7.996317232,,,,,,,-234,885,-0.075838076,0.182434621,5.5,1.704748092,,,,,,,,,-5.9,-4.3,-6.35,-0.728865263,-0.589861354,-0.831132924,0,0,1,0,0,0,0,-0.2,0.2,0,71.025,4.263031928,,,,,,,,,-13.27083333,1.33333333,-3.34583334,-0.171300509,0.017734892,-0.03961549,5,1.609437912,,,,,,,,,-3.956521739,-3.875,-5.333333333,-0.58294404,-0.581173509,-0.963270941,30141,10.31364165,,,,,,,,,904,870,938,0.030451341,0.029430802,0.031457993,2,0.693147181,,,,,,,,,-7,-8,-13,-1.504077397,-0.587786665,-2.63905733,239,5.476463552,,,,,,,,,163,64,180,1.145730212,0.546543706,1.349926717,36,3.583518938,,,,,,,,,22,10,27,0.944461609,0.606135804,1.239690887,0,0,0
17/01/2012,6204,8.732949524,,,,,,,-107,0,-0.017099897,0,3320,8.107720062,,,,,,,-35,-234,-0.010486987,-0.075838076,4.9,1.589235205,,,,,,,,,-6.35,-5.9,-0.75,-0.831132924,-0.728865263,-0.0693118,0,0,0,1,0,0,0,0,-0.2,0.4,82.79583333,4.416377738,,,,,,,,,-3.34583334,-13.27083333,9.92916667,-0.03961549,-0.171300509,0.112873714,3.291666667,1.191394022,,,,,,,,,-5.333333333,-3.956521739,-0.635869565,-0.963270941,-0.58294404,-0.07023588,30289,10.31853989,,,,,,,,,938,904,970,0.031457993,0.030451341,0.032383655,1,0,,,,,,,,,-13,-7,-11,-2.63905733,-1.504077397,-0.944461609,243,5.493061443,,,,,,,,,180,163,9,1.349926717,1.145730212,0.124297717,38,3.63758616,,,,,,,,,27,22,13,1.239690887,0.944461609,0.693147181,0,0,0
18/01/2012,5729,8.653296274,,,,,,,-808,-107,-0.131937349,-0.017099897,2364,7.768110379,,,,,,,-1096,-35,-0.38091349,-0.010486987,10.45,2.346601978,,,,,,,,,-0.75,-6.35,0.3,-0.0693118,-0.831132924,0.026202372,0.8,1,0,0,0,0,1,0.4,0,7.8,93.025,4.532868274,,,,,,,,,9.92916667,-3.34583334,5.70416666,0.112873714,-0.03961549,0.069500953,8.739130435,2.167810692,,,,,,,,,-0.635869565,-5.333333333,1.38405797,-0.07023588,-0.963270941,0.120232653,30441,10.32354566,,,,,,,,,970,938,1003,0.032383655,0.031457993,0.033329219,7,1.945910149,,,,,,,,,-11,-13,5,-0.944461609,-2.63905733,0.271933715,77,4.343805422,,,,,,,,,9,180,-39,0.124297717,1.349926717,-0.363393894,26,3.258096538,,,,,,,,,13,27,-2,0.693147181,1.239690887,-0.167054085,0,0,0
19/01/2012,4658,8.44634145,,,,,,,-1733,-808,-0.316304579,-0.131937349,2577,7.854381211,,,,,,,-956,-1096,-0.315521437,-0.38091349,11.6,2.451005098,,,,,,,,,0.3,-0.75,2.1,0.026202372,-0.0693118,0.255933374,7.8,0,1,1,1,0,0,7.8,0.4,0.2,84.95833333,4.44216094,,,,,,,,,5.70416666,9.92916667,-3.40416667,0.069500953,0.112873714,-0.042926398,12.2173913,2.502860453,,,,,,,,,1.38405797,-0.635869565,10.20833333,0.120232653,-0.07023588,1.420943496,30598,10.32868993,,,,,,,,,1003,970,1033,0.033329219,0.032383655,0.03416168,21,3.044522438,,,,,,,,,5,-11,14,0.271933715,-0.944461609,1.504077397,89,4.48863637,,,,,,,,,-39,9,-84,-0.363393894,0.124297717,-0.648695418,11,2.397895273,,,,,,,,,-2,13,-8,-0.167054085,0.693147181,-0.427444015,0,0,0
20/01/2012,5782,8.662504923,,,,,,,-101,-1733,-0.017317192,-0.316304579,3191,8.068089626,,,,,,,-503,-956,-0.146375534,-0.315521437,9.3,2.2300144,,,,,,,,,2.1,0.3,6.56,0.255933374,0.026202372,0.762140052,0.2,1,0,1,0,1,0,0.2,7.8,0.2,77.6125,4.351728497,,,,,,,,,-3.40416667,5.70416666,-10.47083333,-0.042926398,0.069500953,-0.131178951,13.45833333,2.599598493,,,,,,,,,10.20833333,1.38405797,14.17391304,1.420943496,0.120232653,2.17041332,30758,10.3339054,,,,,,,,,1033,1003,1063,0.03416168,0.033329219,0.034981603,18,2.890371758,,,,,,,,,14,5,29,1.504077397,0.271933715,3.401197382,92,4.521788577,,,,,,,,,-84,-39,-143,-0.648695418,-0.363393894,-1.049822124,15,2.708050201,,,,,,,,,-8,-2,-21,-0.427444015,-0.167054085,-1.06784063,0,0,0
21/01/2012,2515,7.830028083,,,,,,,24,-101,0.009588567,-0.017317192,5500,8.612503371,,,,,,,-374,-503,-0.065787741,-0.146375534,12.3,2.509599262,,,,,,,,,6.56,2.1,5.15,0.762140052,0.255933374,0.674278696,0.2,1,1,0,0,0,0,0.2,0.2,-0.2,74.7,4.313480092,,,,,,,,,-10.47083333,-3.40416667,-8.5125,-0.131178951,-0.042926398,-0.119040418,16,2.772588722,,,,,,,,,14.17391304,10.20833333,8.458333333,2.17041332,1.420943496,1.000756499,30922,10.33922318,,,,,,,,,1063,1033,1092,0.034981603,0.03416168,0.035755511,30,3.401197382,,,,,,,,,29,14,18,3.401197382,1.504077397,1.029619417,77,4.343805422,,,,,,,,,-143,-84,-45,-1.049822124,-0.648695418,-0.351051686,11,2.397895273,,,,,,,,,-21,-8,-10,-1.06784063,-0.427444015,-0.606135804,0,0,0
22/01/2012,2180,7.687080156,,,,,,,-4,24,-0.001833181,0.009588567,5913,8.684908596,,,,,,,606,-374,0.108126613,-0.065787741,10.5,2.351375257,,,,,,,,,5.15,6.56,3.1,0.674278696,0.762140052,0.447014111,0,0,1,0,0,0,0,-0.2,0.2,0,67.3375,4.209717288,,,,,,,,,-8.5125,-10.47083333,6.3,-0.119040418,-0.131178951,0.084985391,13.375,2.593387293,,,,,,,,,8.458333333,14.17391304,4.166666667,1.000756499,2.17041332,0.606135804,31090,10.3446415,,,,,,,,,1092,1063,1120,0.035755511,0.034981603,0.036484943,28,3.33220451,,,,,,,,,18,29,10,1.029619417,3.401197382,1.791759469,107,4.672828834,,,,,,,,,-45,-143,-113,-0.351051686,-1.049822124,-0.640181645,12,2.48490665,,,,,,,,,-10,-21,-22,-0.606135804,-1.06784063,-0.944461609,0,0,0
23/01/2012,6249,8.74017673,,,,,,,218,-4,0.035508616,-0.001833181,3323,8.108623268,,,,,,,353,606,0.112306037,0.108126613,8.6,2.151762203,,,,,,,,,3.1,5.15,2.14,0.447014111,0.674278696,0.362372965,0,0,0,0,0,0,1,0,-0.2,6.2,77.325,4.348017319,,,,,,,,,6.3,-8.5125,13.25833334,0.084985391,-0.119040418,0.14853453,9.166666667,2.215573716,,,,,,,,,4.166666667,8.458333333,2.143115942,0.606135804,1.000756499,0.501425499,31261,10.35012659,,,,,,,,,1120,1092,1147,0.036484943,0.035755511,0.037169123,12,2.48490665,,,,,,,,,10,18,1,1.791759469,1.029619417,0.693147181,126,4.836281907,,,,,,,,,-113,-45,-99,-0.640181645,-0.351051686,-0.523248144,14,2.63905733,,,,,,,,,-22,-10,-20,-0.944461609,-0.606135804,-0.747214402,0,0,0
24/01/2012,4207,8.344505084,,,,,,,-1997,218,-0.388444441,0.035508616,1810,7.501082124,,,,,,,-1510,353,-0.606637938,0.112306037,7.04,1.95160817,,,,,,,,,2.14,3.1,-0.3,0.362372965,0.447014111,-0.029128273,6.2,0,0,0,1,0,0,6.2,0,-0.8,96.05416667,4.564912268,,,,,,,,,13.25833334,6.3,-4.1375,0.14853453,0.084985391,-0.045496749,5.434782609,1.692819521,,,,,,,,,2.143115942,4.166666667,-0.530797102,0.501425499,0.606135804,-0.062660794,31436,10.35570901,,,,,,,,,1147,1120,1174,0.037169123,0.036484943,0.037841308,2,0.693147181,,,,,,,,,1,10,13,0.693147181,1.791759469,1.049822124,144,4.9698133,,,,,,,,,-99,-113,-17,-0.523248144,-0.640181645,-0.24946086,18,2.890371758,,,,,,,,,-20,-22,-11,-0.747214402,-0.944461609,-0.550046337,0,0,0
25/01/2012,6374,8.759982495,,,,,,,645,-1997,0.106686221,-0.388444441,3485,8.156223323,,,,,,,1121,-1510,0.388112945,-0.606637938,10.15,2.317473705,,,,,,,,,-0.3,2.14,-1.85,-0.029128273,0.362372965,-0.173737813,0,0,0,1,0,1,0,-0.8,6.2,-5.8,88.8875,4.487371525,,,,,,,,,-4.1375,13.25833334,-5.82916666,-0.045496749,0.14853453,-0.071079402,8.208333333,2.105149898,,,,,,,,,-0.530797102,2.143115942,-2.509057967,-0.062660794,0.501425499,-0.22987583,31615,10.36138697,,,,,,,,,1174,1147,1198,0.037841308,0.037169123,0.038405848,20,2.995732274,,,,,,,,,13,1,8,1.049822124,0.693147181,0.322773392,60,4.094344562,,,,,,,,,-17,-99,-28,-0.24946086,-0.523248144,-0.377762506,15,2.708050201,,,,,,,,,-11,-20,1,-0.550046337,-0.747214402,0.087011377,0,0,0
